COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_pedido,1,int,YES,NULL,10,0,0
cd_item_pedido,2,int,YES,NULL,10,0,0
pc_ipi,3,decimal,YES,NULL,18,6,0
pc_icms,4,decimal,YES,NULL,18,6,0
pc_pis,5,decimal,YES,NULL,18,6,0
pc_cofins,6,decimal,YES,NULL,18,6,0
cd_NCM,7,nvarchar,YES,500,NULL,NULL,0
cd_cfop,8,int,YES,NULL,10,0,0
vl_ipi,9,float,YES,NULL,53,NULL,0
vl_icms,10,float,YES,NULL,53,NULL,0
vl_pis,11,float,YES,NULL,53,NULL,0
vl_cofins,12,float,YES,NULL,53,NULL,0
cd_cliente,13,int,YES,NULL,10,0,0
ic_peca_cliente,14,bit,YES,NULL,NULL,NULL,0
cd_imposto_venda,15,int,YES,NULL,10,0,0
cd_externo,16,nvarchar,YES,500,NULL,NULL,0
ds_externo,17,nvarchar,YES,500,NULL,NULL,0
vl_seguro,18,float,YES,NULL,53,NULL,0
vl_quantidade_unidad,19,float,YES,NULL,53,NULL,0
cd_embalagem,20,nvarchar,YES,500,NULL,NULL,0
