COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
Id,1,int,YES,NULL,10,0,0
Date_saisie,2,datetime2,YES,NULL,NULL,NULL,0
heure_saisie,3,nvarchar,YES,500,NULL,NULL,0
minute_saisie,4,nvarchar,YES,500,NULL,NULL,0
seconde_saisie,5,nvarchar,YES,500,NULL,NULL,0
centieme_saisie,6,int,YES,NULL,10,0,0
Date_debut,7,datetime2,YES,NULL,NULL,NULL,0
groupe,8,nvarchar,YES,500,NULL,NULL,0
Code_ope,9,bigint,YES,NULL,19,0,0
Type_machine,10,nvarchar,YES,500,NULL,NULL,0
Code_machine,11,bigint,YES,NULL,19,0,0
Code_Impro,12,bigint,YES,NULL,19,0,0
tps_alloue1,13,nvarchar,YES,500,NULL,NULL,0
tps_alloue2,14,nvarchar,YES,500,NULL,NULL,0
tps_alloue3,15,nvarchar,YES,500,NULL,NULL,0
tps_passe_prepa,16,nvarchar,YES,500,NULL,NULL,0
tps_passe_usinage,17,nvarchar,YES,500,NULL,NULL,0
tps_passe_ctrl,18,nvarchar,YES,500,NULL,NULL,0
op_time,19,int,YES,NULL,10,0,0
gr_societe,20,int,YES,NULL,10,0,0
