TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CONSTRAINT_NAME,FK_NAME
------------,----------,-----------,----------------,---------,-----------,------------------------,-----------------,-------------,---------------,-------
CRIZAFAUX,PedidoCompraItemAux,cd_pedido,1,int,YES,NULL,10,0,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,cd_pedido_item,2,int,YES,NULL,10,0,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,ic_gerar_nf_sremessa,3,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,cd_tipo_produto,4,int,YES,NULL,10,0,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,ic_gerou_materia,5,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,ic_movimentar_est,6,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,ic_movimentou_est,7,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,vl_simples_remessa,8,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,ic_enviar_esp_tec,9,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,ic_enviar_doc_adic,10,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,cd_imposto_nf,11,int,YES,NULL,10,0,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,vl_peso_unit,12,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,cd_status_aprovacao,13,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,ic_simples_remessa,14,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,ic_cadencia,15,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,cd_nota_corte,16,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,dt_nota_corte,17,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,qd_nota_corte,18,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,pc_desc_pedido,19,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraItemAux,nm_lote,20,nvarchar,YES,500,NULL,NULL,NULL,NULL
